DynamicCrafter,DynamicCrafter,98.70
DynamicCrafter,Latte,68.70
DynamicCrafter,OpenSora,56.90
DynamicCrafter,Pika,84.30
DynamicCrafter,SEINE,93.10
DynamicCrafter,Crafter,88.40
DynamicCrafter,Gen2,87.10
DynamicCrafter,HotShot,76.71
DynamicCrafter,Lavie,77.30
DynamicCrafter,ModelScope,76.86
DynamicCrafter,MoonValley,83.23
DynamicCrafter,MorphStudio,90.14
DynamicCrafter,Show_1,76.43
DynamicCrafter,WildScrape,75.49
DynamicCrafter,Sora,82.14
DynamicCrafter,MSR-VTT,99.30
Latte,DynamicCrafter,69.70
Latte,Latte,97.20
Latte,OpenSora,51.20
Latte,Pika,62.10
Latte,SEINE,60.80
Latte,Crafter,73.30
Latte,Gen2,60.10
Latte,HotShot,42.86
Latte,Lavie,57.10
Latte,ModelScope,60.43
Latte,MoonValley,69.97
Latte,MorphStudio,69.86
Latte,Show_1,52.14
Latte,WildScrape,60.18
Latte,Sora,71.43
Latte,MSR-VTT,99.60
Pika,DynamicCrafter,95.60
Pika,Latte,89.40
Pika,OpenSora,82.40
Pika,Pika,99.20
Pika,SEINE,93.10
Pika,Crafter,94.30
Pika,Gen2,93.70
Pika,HotShot,91.43
Pika,Lavie,88.60
Pika,ModelScope,93.86
Pika,MoonValley,93.93
Pika,MorphStudio,96.00
Pika,Show_1,92.57
Pika,WildScrape,93.22
Pika,Sora,94.64
Pika,MSR-VTT,97.50
SEINE,DynamicCrafter,95.40
SEINE,Latte,70.70
SEINE,OpenSora,68.70
SEINE,Pika,89.60
SEINE,SEINE,98.50
SEINE,Crafter,82.70
SEINE,Gen2,84.40
SEINE,HotShot,87.29
SEINE,Lavie,80.50
SEINE,ModelScope,75.86
SEINE,MoonValley,77.48
SEINE,MorphStudio,86.29
SEINE,Show_1,80.71
SEINE,WildScrape,81.84
SEINE,Sora,82.14
SEINE,MSR-VTT,98.10
Crafter,DynamicCrafter,74.80
Crafter,Latte,61.90
Crafter,OpenSora,44.40
Crafter,Pika,76.30
Crafter,SEINE,75.60
Crafter,Crafter,96.80
Crafter,Gen2,72.80
Crafter,HotShot,50.86
Crafter,Lavie,66.20
Crafter,ModelScope,74.00
Crafter,MoonValley,87.70
Crafter,MorphStudio,89.00
Crafter,Show_1,54.86
Crafter,WildScrape,67.29
Crafter,Sora,82.14
Crafter,MSR-VTT,97.40
Gen2,DynamicCrafter,84.30
Gen2,Latte,66.10
Gen2,OpenSora,64.20
Gen2,Pika,84.20
Gen2,SEINE,84.60
Gen2,Crafter,90.00
Gen2,Gen2,97.10
Gen2,HotShot,78.86
Gen2,Lavie,77.50
Gen2,ModelScope,85.00
Gen2,MoonValley,88.34
Gen2,MorphStudio,89.57
Gen2,Show_1,73.71
Gen2,WildScrape,82.60
Gen2,Sora,92.86
Gen2,MSR-VTT,99.20
HotShot,DynamicCrafter,88.80
HotShot,Latte,70.60
HotShot,OpenSora,68.00
HotShot,Pika,85.00
HotShot,SEINE,89.30
HotShot,Crafter,88.90
HotShot,Gen2,97.40
HotShot,HotShot,99.57
HotShot,Lavie,83.20
HotShot,ModelScope,84.71
HotShot,MoonValley,82.75
HotShot,MorphStudio,88.57
HotShot,Show_1,79.57
HotShot,WildScrape,83.81
HotShot,Sora,83.93
HotShot,MSR-VTT,99.90
Lavie,DynamicCrafter,89.00
Lavie,Latte,70.80
Lavie,OpenSora,77.60
Lavie,Pika,82.60
Lavie,SEINE,89.00
Lavie,Crafter,89.70
Lavie,Gen2,93.40
Lavie,HotShot,95.71
Lavie,Lavie,99.40
Lavie,ModelScope,80.29
Lavie,MoonValley,83.55
Lavie,MorphStudio,90.14
Lavie,Show_1,92.29
Lavie,WildScrape,87.20
Lavie,Sora,92.86
Lavie,MSR-VTT,99.50
ModelScope,DynamicCrafter,88.40
ModelScope,Latte,70.90
ModelScope,OpenSora,81.70
ModelScope,Pika,88.60
ModelScope,SEINE,88.20
ModelScope,Crafter,92.60
ModelScope,Gen2,93.50
ModelScope,HotShot,92.57
ModelScope,Lavie,97.60
ModelScope,ModelScope,99.29
ModelScope,MoonValley,88.98
ModelScope,MorphStudio,94.29
ModelScope,Show_1,90.71
ModelScope,WildScrape,90.04
ModelScope,Sora,96.43
ModelScope,MSR-VTT,99.80
MoonValley,DynamicCrafter,44.60
MoonValley,Latte,31.90
MoonValley,OpenSora,31.30
MoonValley,Pika,59.70
MoonValley,SEINE,39.80
MoonValley,Crafter,71.60
MoonValley,Gen2,52.60
MoonValley,HotShot,26.71
MoonValley,Lavie,54.90
MoonValley,ModelScope,65.14
MoonValley,MoonValley,99.52
MoonValley,MorphStudio,72.71
MoonValley,Show_1,39.14
MoonValley,WildScrape,50.22
MoonValley,Sora,67.86
MoonValley,MSR-VTT,99.40
MorphStudio,DynamicCrafter,70.00
MorphStudio,Latte,54.40
MorphStudio,OpenSora,46.50
MorphStudio,Pika,74.40
MorphStudio,SEINE,69.00
MorphStudio,Crafter,86.10
MorphStudio,Gen2,71.70
MorphStudio,HotShot,52.29
MorphStudio,Lavie,69.00
MorphStudio,ModelScope,85.29
MorphStudio,MoonValley,100.00
MorphStudio,MorphStudio,99.29
MorphStudio,Show_1,55.43
MorphStudio,WildScrape,74.18
MorphStudio,Sora,91.07
MorphStudio,MSR-VTT,99.90
Show_1,DynamicCrafter,64.50
Show_1,Latte,48.50
Show_1,OpenSora,51.10
Show_1,Pika,70.50
Show_1,SEINE,64.90
Show_1,Crafter,75.80
Show_1,Gen2,67.10
Show_1,HotShot,51.14
Show_1,Lavie,68.40
Show_1,ModelScope,69.86
Show_1,MoonValley,89.78
Show_1,MorphStudio,86.57
Show_1,Show_1,100.00
Show_1,WildScrape,67.07
Show_1,Sora,78.57
Show_1,MSR-VTT,99.70
WildScrape,DynamicCrafter,91.70
WildScrape,Latte,77.40
WildScrape,OpenSora,87.10
WildScrape,Pika,89.20
WildScrape,SEINE,92.10
WildScrape,Crafter,90.70
