Show_1,ModelScope,93.86
Show_1,MoonValley,98.56
Show_1,MorphStudio,94.71
Show_1,Show_1,97.00
Show_1,WildScrape,75.49
Show_1,Sora,91.07
Show_1,MSR-VTT,99.90
WildScrape,DynamicCrafter,99.80
WildScrape,Latte,61.20
WildScrape,OpenSora,81.60
WildScrape,Pika,98.20
WildScrape,SEINE,97.00
WildScrape,Crafter,96.50
WildScrape,Gen2,96.50
WildScrape,HotShot,84.43
WildScrape,Lavie,88.90
WildScrape,ModelScope,92.86
WildScrape,MoonValley,99.36
WildScrape,MorphStudio,91.86
WildScrape,Show_1,79.57
WildScrape,WildScrape,98.25
WildScrape,Sora,92.86
WildScrape,MSR-VTT,99.70
