Show_1,ModelScope,25.86
Show_1,MoonValley,37.86
Show_1,MorphStudio,31.43
Show_1,Show_1,99.57
Show_1,WildScrape,28.34
Show_1,Sora,35.71
Show_1,MSR-VTT,96.80
WildScrape,DynamicCrafter,70.90
WildScrape,Latte,66.30
WildScrape,OpenSora,67.20
WildScrape,Pika,71.50
WildScrape,SEINE,72.00
WildScrape,Crafter,75.80
WildScrape,Gen2,70.00
WildScrape,HotShot,69.29
WildScrape,Lavie,72.90
WildScrape,ModelScope,70.29
WildScrape,MoonValley,74.60
WildScrape,MorphStudio,80.43
WildScrape,Show_1,61.29
WildScrape,WildScrape,95.08
WildScrape,Sora,80.36
WildScrape,MSR-VTT,96.30
